Spool file: JESJCLIN (ID #1, Step: JES2)
//TSTD1BA JOB (A),'NSF D1 GATE A',CLASS=A,MSGCLASS=H,                   JOB  384
//             MSGLEVEL=(1,1),NOTIFY=IBMUSER,
//         USER=IBMUSER,PASSWORD=   GENERATED BY MVSMF
//*
//* M5-2d1 live gates 2.2/2.3 -- ROLE A.
//*
//* TWO REAL ADDRESS SPACES.  Submit TSTD1BA first, wait for its console line
//*   TSTD1B: A HOLDING SOCKET ... -- B MAY RUN NOW
//* then submit TSTD1BB.  A holds ~180 s, polling its OWN readiness, which is
//* B's window.
//*
//* A THIRD PARTY IS REQUIRED: the stimulus driver
//* docs/measurements/m5-2d1-stimulus/d1stim.py, running on the HOST beside
//* the emulator.  It connects to A's port and HOLDS the connection open, so
//* A's listener becomes read-ready -- which is what makes B's "not ready"
//* a refusal rather than an idle listener (the #107 annotation).
//*
//* SUBMIT B ON A's *HOLDING* LINE, NOT ON ITS FIRST READY LINE.  A cannot be
//* ready until after B has swept: a passive child takes a socket-table slot,
//* so a connect before B allocates its own socket would insert a child between
//* A and B and break B's `own - 1` derivation -- silently, because the child
//* is foreign to B too.  The driver therefore fires on B's own SWEEP DONE
//* marker, and A's not-ready polls before that point are the expected reading.
//*
//* B sweeps the WHOLE internal descriptor space (gen<<16)|idx straight into
//* the request, bypassing its own facade table -- the facade cannot NAME a
//* foreign socket, the transport could.  It reports ATTEMPTS as well as hits:
//* "0 hits" alone is a null nobody can read, "0 hits in 128 attempts with A
//* confirmed holding a socket" is evidence.
//*
//* PREREQUISITE:  S NSFS, and TSTD1A (gate 2.1) green first -- a check that
//*                refuses accepted children makes everything here moot.
//*
//A       EXEC PGM=TSTD1B,PARM='A',REGION=8M
//STEPLIB  DD DSN=IBMUSER.NSF370.V0R1M0D.TESTLIB,DISP=SHR
//         DD DSN=NSF.LINKLIB,DISP=SHR
//SYSPRINT DD SYSOUT=*
//SYSTSPRT DD SYSOUT=*
//SYSUDUMP DD SYSOUT=*

Spool file: JESMSGLG (ID #2, Step: JES2)
                                                J E S 2   J O B   L O G
 9.08.17 JOB  384  $HASP373 TSTD1BA  STARTED - INIT  1 - CLASS A - SYS DEV1
 9.08.17 JOB  384  IEF403I TSTD1BA - STARTED - TIME=09.08.17
 9.08.17 JOB  384  +TSTD1B: START ROLE 'A'
 9.08.17 JOB  384  +TSTD1B: A HOLDING SOCKET (facade 0) -- B MAY RUN NOW
 9.08.17 JOB  384  +TSTD1B: A POLL 0 RC=0 READY=0
 9.08.19 JOB  384  +TSTD1B: A POLL 1 RC=0 READY=0
 9.08.21 JOB  384  +TSTD1B: A POLL 2 RC=0 READY=0
 9.08.23 JOB  384  +TSTD1B: A POLL 3 RC=0 READY=0
 9.08.25 JOB  384  +TSTD1B: A POLL 4 RC=0 READY=0
 9.08.27 JOB  384  +TSTD1B: A POLL 5 RC=0 READY=0
 9.08.29 JOB  384  +TSTD1B: A POLL 6 RC=0 READY=0
 9.08.31 JOB  384  +TSTD1B: A POLL 7 RC=0 READY=0
 9.08.33 JOB  384  +TSTD1B: A POLL 8 RC=1 READY=1
 9.08.35 JOB  384  +TSTD1B: A POLL 9 RC=1 READY=1
 9.08.37 JOB  384  +TSTD1B: A POLL 10 RC=1 READY=1
 9.08.39 JOB  384  +TSTD1B: A POLL 11 RC=1 READY=1
 9.09.03 JOB  384  +TSTD1B: A POLL 12 RC=1 READY=1
 9.09.05 JOB  384  +TSTD1B: A POLL 13 RC=1 READY=1
 9.09.07 JOB  384  +TSTD1B: A POLL 14 RC=1 READY=1
 9.09.09 JOB  384  +TSTD1B: A POLL 15 RC=1 READY=1
 9.09.11 JOB  384  +TSTD1B: A POLL 16 RC=1 READY=1
 9.09.13 JOB  384  +TSTD1B: A POLL 17 RC=1 READY=1
 9.09.15 JOB  384  +TSTD1B: A POLL 18 RC=1 READY=1
 9.09.17 JOB  384  +TSTD1B: A POLL 19 RC=1 READY=1
 9.09.19 JOB  384  +TSTD1B: A POLL 20 RC=1 READY=1
 9.09.21 JOB  384  +TSTD1B: A POLL 21 RC=1 READY=1
 9.09.23 JOB  384  +TSTD1B: A POLL 22 RC=1 READY=1
 9.09.25 JOB  384  +TSTD1B: A POLL 23 RC=1 READY=1
 9.09.27 JOB  384  +TSTD1B: A POLL 24 RC=1 READY=1
 9.09.29 JOB  384  +TSTD1B: A POLL 25 RC=1 READY=1
 9.09.31 JOB  384  +TSTD1B: A POLL 26 RC=1 READY=1
 9.09.33 JOB  384  +TSTD1B: A POLL 27 RC=1 READY=1
 9.09.35 JOB  384  +TSTD1B: A POLL 28 RC=1 READY=1
 9.09.37 JOB  384  +TSTD1B: A POLL 29 RC=1 READY=1
 9.09.39 JOB  384  +TSTD1B: A POLL 30 RC=1 READY=1
 9.09.41 JOB  384  +TSTD1B: A POLL 31 RC=1 READY=1
 9.09.43 JOB  384  +TSTD1B: A POLL 32 RC=1 READY=1
 9.09.45 JOB  384  +TSTD1B: A POLL 33 RC=1 READY=1
 9.09.47 JOB  384  +TSTD1B: A POLL 34 RC=1 READY=1
 9.09.49 JOB  384  +TSTD1B: A POLL 35 RC=1 READY=1
 9.09.51 JOB  384  +TSTD1B: A POLL 36 RC=1 READY=1
 9.09.53 JOB  384  +TSTD1B: A POLL 37 RC=1 READY=1
 9.09.55 JOB  384  +TSTD1B: A POLL 38 RC=1 READY=1
 9.09.57 JOB  384  +TSTD1B: A POLL 39 RC=1 READY=1
 9.09.59 JOB  384  +TSTD1B: A POLL 40 RC=1 READY=1
 9.10.01 JOB  384  +TSTD1B: A POLL 41 RC=1 READY=1
 9.10.03 JOB  384  +TSTD1B: A POLL 42 RC=1 READY=1
 9.10.05 JOB  384  +TSTD1B: A POLL 43 RC=1 READY=1
 9.10.07 JOB  384  +TSTD1B: A POLL 44 RC=1 READY=1
 9.10.09 JOB  384  +TSTD1B: A POLL 45 RC=1 READY=1
 9.10.11 JOB  384  +TSTD1B: A POLL 46 RC=1 READY=1
 9.10.13 JOB  384  +TSTD1B: A POLL 47 RC=1 READY=1
 9.10.15 JOB  384  +TSTD1B: A POLL 48 RC=1 READY=1
 9.10.17 JOB  384  +TSTD1B: A POLL 49 RC=1 READY=1
 9.10.19 JOB  384  +TSTD1B: A POLL 50 RC=1 READY=1
 9.10.21 JOB  384  +TSTD1B: A POLL 51 RC=1 READY=1
 9.10.23 JOB  384  +TSTD1B: A POLL 52 RC=1 READY=1
 9.10.25 JOB  384  +TSTD1B: A POLL 53 RC=1 READY=1
 9.10.27 JOB  384  +TSTD1B: A POLL 54 RC=1 READY=1
 9.10.29 JOB  384  +TSTD1B: A POLL 55 RC=1 READY=1
 9.10.31 JOB  384  +TSTD1B: A POLL 56 RC=1 READY=1
 9.10.33 JOB  384  +TSTD1B: A POLL 57 RC=1 READY=1
 9.10.35 JOB  384  +TSTD1B: A POLL 58 RC=1 READY=1
 9.10.37 JOB  384  +TSTD1B: A POLL 59 RC=1 READY=1
 9.10.39 JOB  384  +TSTD1B: A POLL 60 RC=1 READY=1
 9.10.41 JOB  384  +TSTD1B: A POLL 61 RC=1 READY=1
 9.10.43 JOB  384  +TSTD1B: A POLL 62 RC=1 READY=1
 9.10.45 JOB  384  +TSTD1B: A POLL 63 RC=1 READY=1
 9.10.47 JOB  384  +TSTD1B: A POLL 64 RC=1 READY=1
 9.10.49 JOB  384  +TSTD1B: A POLL 65 RC=1 READY=1
 9.10.51 JOB  384  +TSTD1B: A POLL 66 RC=1 READY=1
 9.10.53 JOB  384  +TSTD1B: A POLL 67 RC=1 READY=1
 9.10.55 JOB  384  +TSTD1B: A POLL 68 RC=1 READY=1
 9.10.57 JOB  384  +TSTD1B: A POLL 69 RC=1 READY=1
 9.10.59 JOB  384  +TSTD1B: A POLL 70 RC=1 READY=1
 9.11.01 JOB  384  +TSTD1B: A POLL 71 RC=1 READY=1
 9.11.03 JOB  384  +TSTD1B: A POLL 72 RC=1 READY=1
 9.11.05 JOB  384  +TSTD1B: A POLL 73 RC=1 READY=1
 9.11.07 JOB  384  +TSTD1B: A POLL 74 RC=1 READY=1
 9.11.09 JOB  384  +TSTD1B: A POLL 75 RC=1 READY=1
 9.11.11 JOB  384  +TSTD1B: A POLL 76 RC=1 READY=1
 9.11.13 JOB  384  +TSTD1B: A POLL 77 RC=1 READY=1
 9.11.15 JOB  384  +TSTD1B: A POLL 78 RC=1 READY=1
 9.11.17 JOB  384  +TSTD1B: A POLL 79 RC=1 READY=1
 9.11.19 JOB  384  +TSTD1B: A POLL 80 RC=1 READY=1
 9.11.21 JOB  384  +TSTD1B: A POLL 81 RC=1 READY=1
 9.11.23 JOB  384  +TSTD1B: A POLL 82 RC=1 READY=1
 9.11.25 JOB  384  +TSTD1B: A POLL 83 RC=1 READY=1
 9.11.27 JOB  384  +TSTD1B: A POLL 84 RC=1 READY=1
 9.11.29 JOB  384  +TSTD1B: A POLL 85 RC=1 READY=1
 9.11.31 JOB  384  +TSTD1B: A POLL 86 RC=1 READY=1
 9.11.33 JOB  384  +TSTD1B: A POLL 87 RC=1 READY=1
 9.11.35 JOB  384  +TSTD1B: A POLL 88 RC=1 READY=1
 9.11.37 JOB  384  +TSTD1B: A POLL 89 RC=1 READY=1
 9.11.39 JOB  384  +TSTD1B: A DONE
