2026-08-28T06:45:59Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 2 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:46:31Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 2 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:47:02Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 2 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:47:33Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 2 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:48:04Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 2 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:48:35Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:49:05Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:49:36Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:50:08Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:50:39Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:51:10Z DECAY NSF814I APP REGISTRY:|NSF815I   SLOT  0 TOKEN=00010000 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  1 TOKEN=00010001 ASCB=00FE7B58 ASID=0006 LIVE|NSF815I   SLOT  2 TOKEN=00020002 ASCB=00FE7B58 ASID=0006 LIVE|NSF816I APP REGISTRY: 3 OF 16 SLOTS IN USE, 0 DEAD|||
2026-08-28T06:51:41Z DECAY IEE341I NSFS     NOT ACTIVE||
